bias,Positive,Negative,Sentiment
1,87,4705,0.0
1,4654,506,1.0
1,263,1263,0.0
1,3903,197,1.0
1,377,5125,0.0
1,245,4882,0.0
1,4492,293,1.0
1,164,4738,0.0
1,1374,247,1.0
1,4993,843,1.0
1,3715,24,1.0
1,1,4584,0.0
1,448,4847,0.0
1,4163,164,1.0
1,1023,299,1.0
1,293,933,0.0
1,924,286,1.0
1,4184,248,1.0
1,666,1049,0.0
1,986,37,1.0
1,842,5379,0.0
1,43,4628,0.0
1,467,1057,0.0
1,3721,10,1.0
1,341,5249,0.0
1,710,4,1.0
1,90,4713,0.0
1,4010,249,1.0
1,3970,257,1.0
1,224,4769,0.0
1,543,5192,0.0
1,946,5066,0.0
1,47,4627,0.0
1,66,4698,0.0
1,138,772,0.0
1,4168,416,1.0
1,216,4836,0.0
1,6,4600,0.0
1,958,339,1.0
1,1151,770,1.0
1,1,4586,0.0
1,3978,356,1.0
1,1323,10159,0.0
1,668,5,1.0
1,178,4821,0.0
1,117,4697,0.0
1,3949,107,1.0
1,877,190,1.0
1,13,4614,0.0
1,107,4758,0.0
1,1,4585,0.0
1,393,5024,0.0
1,799,5634,0.0
1,11,4589,0.0
1,3750,71,1.0
1,489,5184,0.0
1,1397,149,1.0
1,3846,135,1.0
1,562,1145,0.0
1,463,5064,0.0
1,793,5612,0.0
1,3841,112,1.0
1,1,4585,0.0
1,458,4923,0.0
1,52,4719,0.0
1,3850,93,1.0
1,3759,52,1.0
1,3744,82,1.0
1,4224,413,1.0
1,774,107,1.0
1,3727,21,1.0
1,4914,345,1.0
1,3873,327,1.0
1,4426,239,1.0
1,1368,535,1.0
1,1611,147,1.0
1,4054,270,1.0
1,4103,155,1.0
1,587,5529,0.0
1,3857,319,1.0
1,665,5,1.0
1,146,9375,0.0
1,339,132,1.0
1,16,4620,0.0
1,118,4819,0.0
1,177,4760,0.0
1,3960,298,1.0
1,62,4721,0.0
1,4993,843,1.0
1,4220,603,1.0
1,495,5119,0.0
1,890,5724,0.0
1,95,604,0.0
1,206,5076,0.0
1,105,4843,0.0
1,16,556,0.0
1,209,282,0.0
1,726,5360,0.0
1,1,4590,0.0
1,105,4830,0.0
1,8,4615,0.0
1,1584,8682,0.0
1,3906,87,1.0
1,3877,316,1.0
1,106,833,0.0
1,1356,117,1.0
1,206,4768,0.0
1,4182,461,1.0
1,48,4661,0.0
1,610,5332,0.0
1,3694,6,1.0
1,4127,197,1.0
1,4661,111,1.0
1,332,5134,0.0
1,862,15,1.0
1,45,4633,0.0
1,3887,272,1.0
1,535,5415,0.0
1,172,4768,0.0
1,308,4966,0.0
1,3704,15,1.0
1,1172,5915,0.0
1,1344,107,1.0
1,480,4991,0.0
1,59,4628,0.0
1,268,5257,0.0
1,3811,147,1.0
1,3879,184,1.0
1,244,5110,0.0
1,213,4993,0.0
1,4071,142,1.0
1,206,4757,0.0
1,4912,617,1.0
1,76,4662,0.0
1,139,4686,0.0
1,4138,265,1.0
1,3807,50,1.0
1,358,5273,0.0
1,23,4735,0.0
1,1362,121,1.0
1,277,4928,0.0
1,452,5051,0.0
1,738,50,1.0
1,4008,66,1.0
1,666,5456,0.0
1,182,658,0.0
1,4009,232,1.0
1,377,5057,0.0
1,1103,589,1.0
1,249,4832,0.0
1,1039,5106,0.0
1,1868,1021,1.0
1,4472,621,1.0
1,262,766,0.0
1,1012,467,1.0
1,714,0,1.0
1,352,860,0.0
1,174,863,0.0
1,2,4,1.0
1,3870,360,1.0
1,3692,2,1.0
1,1388,155,1.0
1,45,4648,0.0
1,265,4961,0.0
1,3791,104,1.0
1,3926,88,1.0
1,199,4914,0.0
1,3979,387,1.0
1,4686,156,1.0
1,27,4624,0.0
1,134,4806,0.0
1,5222,558,1.0
1,28,4885,0.0
1,21,4631,0.0
1,10,9,1.0
1,54,4677,0.0
1,4884,515,1.0
1,1,4585,0.0
1,4028,185,1.0
1,723,1106,0.0
1,4161,353,1.0
1,872,5315,0.0
1,3897,158,1.0
1,3874,93,1.0
1,703,0,1.0
1,260,4942,0.0
1,3928,62,1.0
1,33,4642,0.0
1,141,18499,0.0
1,1038,354,1.0
1,1520,809,1.0
1,3700,3,1.0
1,920,9937,0.0
1,36,4653,0.0
1,140,4732,0.0
1,1124,251,1.0
1,701,0,1.0
1,1078,412,1.0
1,4884,515,1.0
1,563,5174,0.0
1,28,4886,0.0
1,4385,20,1.0
1,244,4855,0.0
1,4885,294,1.0
1,131,98,0.0
1,196,4806,0.0
1,1176,498,1.0
1,45,4676,0.0
1,3804,212,1.0
1,78,4724,0.0
1,1780,467,1.0
1,735,26,1.0
1,3868,107,1.0
1,1106,583,1.0
1,689,30,1.0
1,403,5044,0.0
1,3693,2,1.0
1,90,4859,0.0
1,1666,425,1.0
1,335,5197,0.0
1,4415,587,1.0
1,180,4862,0.0
1,90,4659,0.0
1,3906,113,1.0
1,3720,44,1.0
1,173,307,1.0
1,263,4934,0.0
1,317,4998,0.0
1,299,4942,0.0
1,533,920,0.0
1,16,4642,0.0
1,1186,488,1.0
1,116,368,0.0
1,127,4846,0.0
1,4884,515,1.0
1,467,5119,0.0
1,720,6,1.0
1,27,803,0.0
1,23,4647,0.0
1,1141,406,1.0
1,41,4631,0.0
1,3694,4,1.0
1,11,4587,0.0
1,402,4844,0.0
1,4863,530,1.0
1,3914,282,1.0
1,78,655,0.0
1,717,14,1.0
1,4863,530,1.0
1,61,4646,0.0
1,88,4732,0.0
1,4034,301,1.0
1,141,4687,0.0
1,148,4642,0.0
1,65,4627,0.0
1,4193,311,1.0
1,4016,366,1.0
1,4924,474,1.0
1,1311,610,1.0
1,4116,193,1.0
1,102,4808,0.0
1,4117,387,1.0
1,211,4835,0.0
1,332,834,0.0
1,8085,517,1.0
1,105,4874,0.0
1,3928,72,1.0
1,4633,590,1.0
1,3,4590,0.0
1,401,654,0.0
1,4420,156,1.0
1,114,4715,0.0
1,193,4744,0.0
1,1985,431,1.0
1,48,13840,0.0
1,33,4591,0.0
1,663,2,1.0
1,4,4596,0.0
1,28,4890,0.0
1,78,4793,0.0
1,4769,1007,1.0
1,254,4772,0.0
1,103,4723,0.0
1,431,5097,0.0
1,535,1075,0.0
1,29,4628,0.0
1,1,4586,0.0
1,4151,455,1.0
1,1481,138,1.0
1,4145,203,1.0
1,156,4811,0.0
1,3806,23,1.0
1,307,4821,0.0
1,388,5209,0.0
1,4588,602,1.0
1,4993,843,1.0
1,423,1147,0.0
1,22,523,0.0
1,3950,210,1.0
1,741,1237,0.0
1,617,1151,0.0
1,3716,7,1.0
1,7663,344,1.0
1,28,4887,0.0
1,55,4714,0.0
1,64,4595,0.0
1,94,4674,0.0
1,3745,26,1.0
1,3797,37,1.0
1,4863,431,1.0
1,3826,92,1.0
1,4139,265,1.0
1,691,5550,0.0
1,3795,34,1.0
1,3,511,0.0
1,34,643,0.0
1,333,831,0.0
1,4169,423,1.0
1,484,5156,0.0
1,159,601,0.0
1,435,4979,0.0
1,3916,383,1.0
1,4772,659,1.0
1,730,51,1.0
1,1041,306,1.0
1,40,4611,0.0
1,14,4604,0.0
1,470,5175,0.0
1,1362,121,1.0
1,3901,213,1.0
1,3841,103,1.0
1,4691,1108,1.0
1,553,4968,0.0
1,543,5362,0.0
1,190,5068,0.0
1,12,36,0.0
1,23,4733,0.0
1,3718,56,1.0
1,72,4744,0.0
1,11,4592,0.0
1,1392,94,1.0
1,3694,4,1.0
1,4015,321,1.0
1,553,5141,0.0
1,1136,597,1.0
1,4334,109,1.0
1,3801,112,1.0
1,1050,475,1.0
1,1087,5429,0.0
1,3,4593,0.0
1,946,162,1.0
1,16,4614,0.0
1,3864,258,1.0
1,2453,735,1.0
1,3710,44,1.0
1,4101,288,1.0
1,91,568,0.0
1,1637,5492,0.0
1,1410,91,1.0
1,3846,93,1.0
1,103,4672,0.0
1,26,4654,0.0
1,833,5457,0.0
1,4293,772,1.0
1,4014,346,1.0
1,28,4594,0.0
1,186,729,0.0
1,28,4885,0.0
1,327,4909,0.0
1,99,4830,0.0
1,7907,534,1.0
1,8209,223,1.0
1,262,4957,0.0
1,81,399,0.0
1,253,9413,0.0
1,3731,33,1.0
1,3869,164,1.0
1,233,4840,0.0
1,4,4614,0.0
1,317,5038,0.0
1,157,4759,0.0
1,4080,163,1.0
1,1584,8682,0.0
1,4581,302,1.0
1,4383,727,1.0
1,1584,8682,0.0
1,248,4741,0.0
1,4596,258,1.0
1,142,4753,0.0
1,5,4621,0.0
1,9,4715,0.0
1,15,564,0.0
1,603,5273,0.0
1,7483,89,1.0
1,230,4980,0.0
1,756,146,1.0
1,731,44,1.0
1,4018,637,1.0
1,3718,21,1.0
1,4483,704,1.0
1,1011,5286,0.0
1,140,0,1.0
1,108,4791,0.0
1,3700,14,1.0
1,451,558,0.0
1,661,0,1.0
1,7,4599,0.0
1,7465,64,1.0
1,418,4787,0.0
1,4334,109,1.0
1,239,4685,0.0
1,215,4930,0.0
1,543,5225,0.0
1,28,4641,0.0
1,3712,46,1.0
1,273,4923,0.0
1,1150,263,1.0
1,207,4922,0.0
1,3755,16,1.0
1,1189,793,1.0
1,1183,259,1.0
1,1607,144,1.0
1,963,222,1.0
1,292,654,0.0
1,3,4587,0.0
1,451,5102,0.0
1,4967,509,1.0
1,874,5553,0.0
1,837,4960,0.0
1,917,181,1.0
1,245,5374,0.0
1,20,4628,0.0
1,4122,531,1.0
1,3968,93,1.0
1,18,4629,0.0
1,3717,21,1.0
1,72,4659,0.0
1,184,14066,0.0
1,423,5257,0.0
1,393,5015,0.0
1,4019,234,1.0
1,4309,502,1.0
1,3856,95,1.0
1,4306,389,1.0
1,125,4738,0.0
1,3765,41,1.0
1,126,4713,0.0
1,12,4612,0.0
1,186,4946,0.0
1,4211,356,1.0
1,874,142,1.0
1,3692,2,1.0
1,387,5054,0.0
1,3808,81,1.0
1,1216,401,1.0
1,3826,89,1.0
1,3752,15,1.0
1,9,4593,0.0
1,84,4634,0.0
1,269,4828,0.0
1,4010,653,1.0
1,3692,2,1.0
1,1,4584,0.0
1,3741,14,1.0
1,4334,109,1.0
1,3765,44,1.0
1,4578,711,1.0
1,169,4957,0.0
1,299,4818,0.0
1,212,106,1.0
1,1477,706,1.0
1,183,4906,0.0
1,3791,169,1.0
1,3929,155,1.0
1,3877,139,1.0
1,4028,310,1.0
1,382,5099,0.0
1,29,4625,0.0
1,4293,384,1.0
1,322,1039,0.0
1,4993,843,1.0
1,3937,131,1.0
1,4178,386,1.0
1,3718,2,1.0
1,3859,58,1.0
1,138,4906,0.0
1,4313,416,1.0
1,3947,223,1.0
1,6,4588,0.0
1,55,4590,0.0
1,509,5090,0.0
1,801,82,1.0
1,183,4749,0.0
1,478,5091,0.0
1,441,972,0.0
1,4232,486,1.0
1,41,4902,0.0
1,41,4739,0.0
1,12,26,0.0
1,3976,514,1.0
1,4215,210,1.0
1,872,195,1.0
1,51,4785,0.0
1,313,4846,0.0
1,1344,107,1.0
1,4200,424,1.0
1,3692,2,1.0
1,71,124,0.0
1,3714,5,1.0
1,4012,334,1.0
1,4012,211,1.0
1,23,4735,0.0
1,4047,365,1.0
1,1637,5492,0.0
1,4142,217,1.0
1,430,5090,0.0
1,3777,45,1.0
1,3,4587,0.0
1,5601,1084,1.0
1,1380,122,1.0
1,161,4773,0.0
1,113,4886,0.0
1,555,5261,0.0
1,12,576,0.0
1,775,113,1.0
1,218,4822,0.0
1,879,5656,0.0
1,3851,120,1.0
1,357,5015,0.0
1,3744,96,1.0
1,3987,179,1.0
1,88,4697,0.0
1,85,4653,0.0
1,555,5030,0.0
1,1029,37,1.0
1,521,5286,0.0
1,3722,33,1.0
1,4097,717,1.0
1,3773,48,1.0
1,1,4588,0.0
1,3885,177,1.0
1,275,4966,0.0
1,258,4942,0.0
1,216,4954,0.0
1,3769,8,1.0
1,3990,180,1.0
1,4755,315,1.0
1,310,4919,0.0
1,1112,267,1.0
1,3771,96,1.0
1,1036,294,1.0
1,4884,515,1.0
1,303,9543,0.0
1,297,5003,0.0
1,3909,567,1.0
1,217,152,1.0
1,3993,247,1.0
1,3723,24,1.0
1,202,4893,0.0
1,87,188,0.0
1,4212,269,1.0
1,163,4909,0.0
1,839,5799,0.0
1,917,917,1.0
1,4558,1051,1.0
1,4993,843,1.0
1,273,5078,0.0
1,3912,210,1.0
1,731,5,1.0
1,3717,26,1.0
1,16,4628,0.0
1,1584,8682,0.0
1,3692,3,1.0
1,3906,115,1.0
1,98,4960,0.0
1,108,4698,0.0
1,2194,1670,1.0
1,4062,257,1.0
1,32,4675,0.0
1,691,5361,0.0
1,1,4588,0.0
1,822,76,1.0
1,3868,125,1.0
1,3700,7,1.0
1,3993,302,1.0
1,922,216,1.0
1,17,4635,0.0
1,165,4669,0.0
1,5111,409,1.0
1,225,45,1.0
1,17,4636,0.0
1,3740,48,1.0
1,68,67,0.0
1,217,4834,0.0
1,46,4629,0.0
1,3922,79,1.0
1,25,4617,0.0
1,1338,450,1.0
1,3903,186,1.0
1,3809,75,1.0
1,128,4819,0.0
1,274,4995,0.0
1,658,5362,0.0
1,4067,231,1.0
1,229,9565,0.0
1,776,90,1.0
1,164,4896,0.0
1,559,4929,0.0
1,2,531,0.0
1,865,5629,0.0
1,1,4585,0.0
1,4168,519,1.0
1,27,4706,0.0
1,204,4996,0.0
1,285,4825,0.0
1,3841,151,1.0
1,4203,491,1.0
1,53,4722,0.0
1,136,990,0.0
1,4344,752,1.0
1,4263,522,1.0
1,13,4609,0.0
1,3848,37,1.0
1,7,4621,0.0
1,3712,9,1.0
1,3802,126,1.0
1,926,63,1.0
1,22,523,0.0
1,46,4678,0.0
1,617,5504,0.0
1,3718,2,1.0
1,1,4585,0.0
1,812,52,1.0
1,4334,109,1.0
1,87,4739,0.0
1,3824,112,1.0
1,350,178,1.0
1,255,834,0.0
1,1153,362,1.0
1,62,631,0.0
1,1375,173,1.0
1,4322,598,1.0
1,22,4621,0.0
1,1235,306,1.0
1,1107,154,1.0
1,1224,6216,0.0
1,149,4970,0.0
1,116,4629,0.0
1,3897,155,1.0
1,307,4891,0.0
1,3708,6,1.0
1,734,107,1.0
1,1,4585,0.0
1,4993,843,1.0
1,435,5351,0.0
1,3715,3,1.0
1,616,1413,0.0
1,465,5284,0.0
1,3776,97,1.0
1,4345,656,1.0
1,3691,2,1.0
1,4935,644,1.0
1,308,5034,0.0
1,3740,31,1.0
1,3715,23,1.0
1,3901,388,1.0
1,4028,288,1.0
1,800,178,1.0
1,343,5077,0.0
1,1059,152,1.0
1,660,0,1.0
1,3860,281,1.0
1,4459,622,1.0
1,4457,380,1.0
1,3941,238,1.0
1,865,158,1.0
1,3755,41,1.0
1,11271,324,1.0
1,4312,378,1.0
1,4079,194,1.0
1,198,4863,0.0
1,671,3,1.0
1,30,4631,0.0
1,4993,843,1.0
1,5002,1163,1.0
1,961,5447,0.0
1,5795,815,1.0
1,1112,265,1.0
1,24,4662,0.0
1,49,4652,0.0
1,175,4963,0.0
1,3850,63,1.0
1,773,97,1.0
1,4079,491,1.0
1,447,5272,0.0
1,4169,505,1.0
1,1926,462,1.0
1,600,5088,0.0
1,43,4643,0.0
1,267,4859,0.0
1,1054,81,1.0
1,4084,422,1.0
1,1085,5953,0.0
1,606,5378,0.0
1,660,5373,0.0
1,198,4819,0.0
1,196,9579,0.0
1,4338,419,1.0
1,5074,857,1.0
1,339,5076,0.0
1,1,4585,0.0
1,4093,329,1.0
1,24,4621,0.0
1,4297,616,1.0
1,0,501,0.0
1,737,14585,0.0
1,1433,246,1.0
1,4299,529,1.0
1,5,4627,0.0
1,3757,50,1.0
1,244,4658,0.0
1,925,63,1.0
1,336,5123,0.0
1,6,4603,0.0
1,685,26,1.0
1,758,39,1.0
1,4092,154,1.0
1,3840,98,1.0
1,4489,527,1.0
1,1109,509,1.0
1,205,4823,0.0
1,3800,202,1.0
1,55,4649,0.0
1,999,346,1.0
1,270,4807,0.0
1,4489,527,1.0
1,355,5190,0.0
1,4149,362,1.0
1,1111,372,1.0
1,4430,411,1.0
1,178,4951,0.0
1,4158,376,1.0
1,3869,266,1.0
1,3832,38,1.0
1,420,1077,0.0
1,4206,239,1.0
1,8323,790,1.0
1,294,4929,0.0
1,4658,374,1.0
1,17,4635,0.0
1,441,575,0.0
1,275,9427,0.0
1,4145,369,1.0
1,114,4735,0.0
1,4442,275,1.0
1,3899,371,1.0
1,402,4736,0.0
1,4041,166,1.0
1,3718,60,1.0
1,1001,345,1.0
1,131,650,0.0
1,4395,701,1.0
1,5399,860,1.0
1,667,4730,0.0
1,5795,815,1.0
1,3838,170,1.0
1,3729,21,1.0
1,17,4607,0.0
1,3745,26,1.0
1,3926,209,1.0
1,21,566,0.0
1,188,5026,0.0
1,4222,335,1.0
1,155,4749,0.0
1,1,4585,0.0
1,131,4856,0.0
1,8992,421,1.0
1,341,4932,0.0
1,3769,110,1.0
1,710,0,1.0
1,1131,670,1.0
1,21,4620,0.0
1,4119,184,1.0
1,44,4768,0.0
1,25,4593,0.0
1,702,24,1.0
1,4792,832,1.0
1,48,4621,0.0
1,3985,441,1.0
1,117,5025,0.0
1,766,4962,0.0
1,109,4693,0.0
1,303,4937,0.0
1,3715,18,1.0
1,5008,246,1.0
1,402,4736,0.0
1,414,4980,0.0
1,307,5039,0.0
1,192,4857,0.0
1,46,4649,0.0
1,4677,645,1.0
1,4171,389,1.0
1,847,5245,0.0
1,92,4925,0.0
1,4823,725,1.0
1,1421,126,1.0
1,12,4605,0.0
1,349,4865,0.0
1,4288,630,1.0
1,8051,622,1.0
1,178,4887,0.0
1,4027,142,1.0
1,677,14,1.0
1,142,825,0.0
1,3722,38,1.0
1,185,4838,0.0
1,124,4743,0.0
1,56,699,0.0
1,189,4851,0.0
1,599,813,0.0
1,3718,47,1.0
1,99,4603,0.0
1,97,4996,0.0
1,831,5488,0.0
1,941,259,1.0
1,414,4771,0.0
1,3704,7,1.0
1,926,65,1.0
1,4304,558,1.0
1,847,90,1.0
1,462,4825,0.0
1,3747,54,1.0
1,8,4616,0.0
1,4281,583,1.0
1,474,5219,0.0
1,3947,209,1.0
1,212,985,0.0
1,566,5650,0.0
1,57,4615,0.0
1,4007,93,1.0
1,4989,1289,1.0
1,286,4834,0.0
1,1393,665,1.0
1,842,296,1.0
1,591,5140,0.0
1,4489,527,1.0
1,272,149,1.0
1,40,4622,0.0
1,1157,318,1.0
1,250,422,0.0
1,148,147,1.0
1,3989,335,1.0
1,270,5025,0.0
1,3771,11,1.0
1,4070,349,1.0
1,376,4930,0.0
1,9,4594,0.0
1,24,4657,0.0
1,1735,883,1.0
1,550,5309,0.0
1,139,4845,0.0
1,4471,559,1.0
1,4179,370,1.0
1,73,4680,0.0
1,8,4592,0.0
1,385,9763,0.0
1,2,505,0.0
1,57,4656,0.0
1,703,5,1.0
1,109,4679,0.0
1,736,30,1.0
1,873,122,1.0
1,55,4666,0.0
1,236,4914,0.0
1,1,4586,0.0
1,3816,107,1.0
1,3812,300,0.0
1,776,174,1.0
1,313,4872,0.0
1,11771,726,1.0
1,346,5004,0.0
1,4721,601,1.0
1,1099,5515,0.0
1,55,4713,0.0
1,4993,843,1.0
1,3985,247,1.0
1,4045,372,1.0
1,72,4637,0.0
1,3714,5,1.0
1,3843,62,1.0
1,1582,588,1.0
1,6,4707,0.0
1,170,4729,0.0
1,413,4760,0.0
1,4315,699,1.0
1,82,548,0.0
1,462,5134,0.0
1,539,5113,0.0
1,826,215,1.0
1,4099,161,1.0
1,22,4661,0.0
1,100,4679,0.0
1,3848,300,1.0
1,146,4783,0.0
1,83,4733,0.0
1,713,5542,0.0
1,177,4716,0.0
1,1,4584,0.0
1,3865,136,1.0
1,981,386,1.0
1,966,1558,0.0
1,355,902,0.0
1,71,4704,0.0
1,4286,601,1.0
1,1021,343,1.0
1,41,4690,0.0
1,34,4642,0.0
1,240,5150,0.0
1,42,4648,0.0
1,113,4759,0.0
1,144,667,0.0
1,90,4761,0.0
1,256,5171,0.0
1,103,649,0.0
1,4038,369,1.0
1,4511,180,1.0
1,417,5282,0.0
1,4136,197,1.0
1,3816,105,1.0
1,1902,394,1.0
1,52,4617,0.0
1,14,4603,0.0
1,337,5017,0.0
1,4308,200,1.0
1,331,9780,0.0
1,163,5016,0.0
1,3743,44,1.0
1,162,4700,0.0
1,1330,409,1.0
1,132,4802,0.0
1,4091,428,1.0
1,3993,94,1.0
1,4306,389,1.0
1,1335,155,1.0
1,3890,161,1.0
1,4072,207,1.0
1,1301,107,1.0
1,724,5268,0.0
1,93,4788,0.0
1,4118,159,1.0
1,1362,121,1.0
1,659,0,1.0
1,4087,472,1.0
1,926,288,1.0
1,3906,72,1.0
1,250,762,0.0
1,142,4892,0.0
1,3819,121,1.0
1,1388,1486,0.0
1,42,4779,0.0
1,3879,142,1.0
1,216,4756,0.0
1,648,5427,0.0
1,4993,843,1.0
1,161,4890,0.0
1,659,0,1.0
1,4080,389,1.0
1,5199,544,1.0
1,31,9300,0.0
1,4215,902,1.0
1,4045,238,1.0
1,238,4975,0.0
1,471,5350,0.0
1,78,4894,0.0
1,240,4911,0.0
1,26,4627,0.0
1,3739,42,1.0
1,438,5166,0.0
1,563,5090,0.0
1,25,4627,0.0
1,1483,527,1.0
1,4854,377,1.0
1,1465,537,1.0
1,898,68,1.0
1,6,4604,0.0
1,297,5140,0.0
1,3908,255,1.0
1,3763,48,1.0
1,128,4798,0.0
1,187,4787,0.0
1,280,5014,0.0
1,251,4899,0.0
1,3785,79,1.0
1,16,4609,0.0
1,175,4732,0.0
1,420,5291,0.0
1,3,4590,0.0
1,4027,345,1.0
1,850,108,1.0
1,3984,192,1.0
1,61,4703,0.0
1,4031,420,1.0
1,4629,858,1.0
1,123,4701,0.0
1,265,4975,0.0
1,74,4927,0.0
1,111,4838,0.0
1,4091,418,1.0
1,193,4794,0.0
1,378,4959,0.0
1,998,211,1.0
1,1,4585,0.0
1,4152,167,1.0
1,121,4845,0.0
1,704,0,1.0
1,3710,4,1.0
1,386,5079,0.0
1,3921,170,1.0
1,10,4608,0.0
1,1880,408,1.0
1,733,50,1.0
1,87,4774,0.0
1,4257,339,1.0
1,12,4619,0.0
1,3785,138,1.0
1,88,254,0.0
1,8,4605,0.0
1,268,4921,0.0
1,111,802,0.0
1,169,4770,0.0
1,440,5087,0.0
1,3767,28,1.0
1,3962,136,1.0
1,409,5189,0.0
1,661,1,1.0
1,264,724,0.0
1,10,4603,0.0
1,64,4595,0.0
1,433,5351,0.0
1,520,5418,0.0
1,453,820,0.0
1,1650,5179,0.0
1,18,4655,0.0
1,1078,186,1.0
1,17,4721,0.0
1,1009,194,1.0
1,167,4730,0.0
1,5795,815,1.0
1,2,4590,0.0
1,157,4730,0.0
1,3717,10,1.0
1,126,4712,0.0
1,1078,201,1.0
1,1442,607,1.0
1,5343,983,1.0
1,2,4587,0.0
1,4379,134,1.0
1,208,4772,0.0
1,4030,134,1.0
1,1,4588,0.0
1,3826,70,1.0
1,1029,5622,0.0
1,4440,202,1.0
1,117,4711,0.0
1,1574,412,1.0
1,36,4637,0.0
1,75,4681,0.0
1,766,88,1.0
1,21,4631,0.0
1,28,4885,0.0
1,1301,107,1.0
1,138,4956,0.0
1,3910,235,1.0
1,2103,0,1.0
1,271,4869,0.0
1,36,4614,0.0
1,3755,9,1.0
1,1445,1157,1.0
1,1276,5822,0.0
1,409,373,1.0
1,3934,317,1.0
1,4993,843,1.0
1,4008,581,1.0
1,887,233,1.0
1,369,797,0.0
1,3712,11,1.0
1,4710,767,1.0
1,674,1,1.0
1,686,22,1.0
1,4176,273,1.0
1,132,684,0.0
1,4334,109,1.0
1,108,4667,0.0
1,3820,288,1.0
1,4334,109,1.0
1,188,4942,0.0
1,227,742,0.0
1,680,22,1.0
1,843,777,0.0
1,4002,88,1.0
1,5,4604,0.0
1,330,215,1.0
1,1,4587,0.0
1,3747,81,1.0
1,5601,1085,1.0
1,23,4733,0.0
1,1100,345,1.0
1,378,4887,0.0
1,7,4590,0.0
1,36,4644,0.0
1,248,4833,0.0
1,4382,114,1.0
1,3864,56,1.0
1,1427,648,1.0
1,298,4831,0.0
1,4030,342,1.0
1,276,5073,0.0
1,19,4627,0.0
1,343,4989,0.0
1,68,4640,0.0
1,293,4939,0.0
1,3904,27,1.0
1,3701,3,1.0
1,979,321,1.0
1,78,4632,0.0
1,837,239,1.0
1,3793,57,1.0
1,273,4793,0.0
1,10,4614,0.0
1,3807,93,1.0
1,1165,370,1.0
1,1637,5492,0.0
1,218,5015,0.0
1,4678,234,1.0
1,971,325,1.0
1,2,4588,0.0
1,135,4740,0.0
1,1185,234,1.0
1,4489,527,1.0
1,3699,2,1.0
1,3902,135,1.0
1,691,31,1.0
1,1,4586,0.0
1,3715,40,1.0
1,4732,870,1.0
1,34,4653,0.0
1,490,5107,0.0
